City ID,City,Latitude,Longitude,Max Temperature (F),Humidity (%),Clouds (%),Wind Speed (mph),Country,DT,Date
2142316,yeppoon,-23.1333,150.7333,78.58,62.0,0.0,7.92,AU,1644447537,2022-02-09 22:58:57
5282297,bethel,41.3712,-73.414,39.07,63.0,17.0,5.08,US,1644447443,2022-02-09 22:57:23
5924351,clyde river,70.4692,-68.5914,-19.97,69.0,0.0,20.71,CA,1644447537,2022-02-09 22:58:57
4031574,provideniya,64.3833,-173.3,-2.09,60.0,0.0,15.66,RU,1644447529,2022-02-09 22:58:49
3833367,ushuaia,-54.8,-68.3,51.42,50.0,75.0,16.11,AR,1644447310,2022-02-09 22:55:10
3723841,ananas,19.2466,-71.9557,75.27,78.0,84.0,2.8,HT,1644447538,2022-02-09 22:58:58
602150,umea,63.8284,20.2597,27.91,86.0,0.0,8.05,SE,1644447538,2022-02-09 22:58:58
1633070,palembang,-2.9167,104.7458,75.29,94.0,40.0,2.3,ID,1644447539,2022-02-09 22:58:59
6164499,the pas,53.8251,-101.2541,8.62,72.0,100.0,4.61,CA,1644447539,2022-02-09 22:58:59
6165406,thompson,55.7435,-97.8558,-2.04,60.0,75.0,4.61,CA,1644447539,2022-02-09 22:58:59
1735106,georgetown,5.4112,100.3354,78.73,96.0,20.0,0.0,MY,1644447269,2022-02-09 22:54:29
934322,mahebourg,-20.4081,57.7,73.69,94.0,40.0,5.75,MU,1644447540,2022-02-09 22:59:00
1636426,manggar,-2.8833,108.2667,76.42,87.0,100.0,6.13,ID,1644447540,2022-02-09 22:59:00
2304548,anloga,5.7947,0.8973,82.62,84.0,3.0,8.03,GH,1644447541,2022-02-09 22:59:01
3576994,cockburn town,21.4612,-71.1419,77.94,75.0,0.0,20.24,TC,1644447541,2022-02-09 22:59:01
5848280,kapaa,22.0752,-159.319,79.2,68.0,28.0,1.99,US,1644447520,2022-02-09 22:58:40
1235846,matara,5.9485,80.5353,74.73,86.0,89.0,4.05,LK,1644447541,2022-02-09 22:59:01
