City ID,City,Latitude,Longitude,Max Temperature (F),Humidity (%),Clouds (%),Wind Speed (mph),Country,DT,Date
6185377,yellowknife,62.456,-114.3525,-15.59,90.0,75.0,4.61,CA,1644345519,2022-02-08 18:38:39
2068110,kununurra,-15.7667,128.7333,80.58,89.0,75.0,0.0,AU,1644345732,2022-02-08 18:42:12
2027275,bada,51.392,109.8717,0.21,98.0,100.0,2.95,RU,1644345733,2022-02-08 18:42:13
5880054,barrow,71.2906,-156.7887,-30.98,100.0,20.0,8.05,US,1644345742,2022-02-08 18:42:22
1640902,kawalu,-7.3817,108.2082,73.92,92.0,100.0,1.03,ID,1644345742,2022-02-08 18:42:22
2019488,namtsy,62.7161,129.6658,-34.49,100.0,100.0,1.95,RU,1644345743,2022-02-08 18:42:23
3874787,punta arenas,-53.15,-70.9167,59.11,44.0,75.0,21.85,CL,1644345646,2022-02-08 18:40:46
4035715,avarua,-21.2078,-159.775,77.05,94.0,75.0,8.05,CK,1644345743,2022-02-08 18:42:23
104515,mecca,21.4267,39.8261,72.86,75.0,2.0,3.09,SA,1644345744,2022-02-08 18:42:24
5122534,jamestown,42.097,-79.2353,29.08,60.0,100.0,13.8,US,1644345725,2022-02-08 18:42:05
5106841,albany,42.6001,-73.9662,37.02,72.0,100.0,7.0,US,1644345744,2022-02-08 18:42:24
2074865,carnarvon,-24.8667,113.6333,75.27,73.0,0.0,16.11,AU,1644345745,2022-02-08 18:42:25
2075265,busselton,-33.65,115.3333,55.09,82.0,0.0,7.58,AU,1644345745,2022-02-08 18:42:25
6201424,mataura,-46.1927,168.8643,47.48,98.0,100.0,2.95,NZ,1644345745,2022-02-08 18:42:25
3440777,rocha,-34.4833,-54.3333,73.06,52.0,1.0,10.13,UY,1644345746,2022-02-08 18:42:26
3577430,road town,18.4167,-64.6167,82.44,54.0,20.0,14.97,VG,1644345746,2022-02-08 18:42:26
2171099,codrington,-38.2667,141.9667,67.55,67.0,100.0,4.63,AU,1644345746,2022-02-08 18:42:26
3491355,black river,18.0264,-77.8487,80.98,67.0,24.0,10.56,JM,1644345747,2022-02-08 18:42:27
2124611,kholodnyy,62.7167,147.95,-32.66,88.0,18.0,0.54,RU,1644345747,2022-02-08 18:42:27
2022232,khrebtovaya,56.7032,104.2494,-8.21,97.0,100.0,4.92,RU,1644345748,2022-02-08 18:42:28
1006984,east london,-33.0153,27.9116,76.14,88.0,0.0,9.22,ZA,1644345748,2022-02-08 18:42:28
1282256,hithadhoo,-0.6,73.0833,82.83,69.0,100.0,14.99,MV,1644345748,2022-02-08 18:42:28
2163355,hobart,-42.8794,147.3294,55.27,86.0,22.0,0.0,AU,1644345618,2022-02-08 18:40:18
6166739,timmins,48.4669,-81.3331,19.22,73.0,75.0,4.61,CA,1644345749,2022-02-08 18:42:29
5855927,hilo,19.7297,-155.09,74.62,74.0,40.0,8.05,US,1644345677,2022-02-08 18:41:17
6355222,yulara,-25.2406,130.9889,75.04,83.0,40.0,5.75,AU,1644345750,2022-02-08 18:42:30
3369157,cape town,-33.9258,18.4232,71.1,70.0,0.0,14.97,ZA,1644345711,2022-02-08 18:41:51
